,input_user_id,user_id,user_name,score,review_count
9,-3s52C4zL_DHRK0ULG6qtg,ZlWvLV9xLBCMzow7otGeEA,Barry,0.8253800271627891,3
7,-3s52C4zL_DHRK0ULG6qtg,dsqeMUrkQZ80jfMgf0jszw,Lola,0.8224696236919224,30
6,-3s52C4zL_DHRK0ULG6qtg,FnzXRHWUl10fKq026BGGFQ,Constanza,0.823783803749361,14
5,-3s52C4zL_DHRK0ULG6qtg,sbthWXD2VHV_jlPSRWn7RA,Laura,0.8229603453524198,20
4,-3s52C4zL_DHRK0ULG6qtg,ZDmizf31m6E5-rzE6OiGLg,Marianne,0.8235817977751505,18
3,-3s52C4zL_DHRK0ULG6qtg,-lAslUW0yNVC63xxs1I4Xg,Elena,0.8265294709289432,15
2,-3s52C4zL_DHRK0ULG6qtg,IuaAfrkirlfzY3f4PkgSmw,Joey,0.8299752899749913,72
1,-3s52C4zL_DHRK0ULG6qtg,XofDkjBRips-EkBNEuqAmA,C,0.8248721333805293,4
0,-3s52C4zL_DHRK0ULG6qtg,lgY4qBw4Z5dHQc5-C6QSzA,Jim,0.8235266916393547,7
8,-3s52C4zL_DHRK0ULG6qtg,GEU50I77w7XeV4Y4RcBHaA,Alexa,0.8278537028019134,43
8,-G7Zkl1wIWBBmD0KRy_sCw,ry9hCRNTrFjK3U7ioLZdtA,Sarah,0.848117653771329,11
9,-G7Zkl1wIWBBmD0KRy_sCw,n70YfA2NE3aCWbYaXiRoDQ,I,0.8357593890070082,36
5,-G7Zkl1wIWBBmD0KRy_sCw,-ZsAF6YOSzfCwRMvwgkwHw,Ryan,0.8480015944027773,78
6,-G7Zkl1wIWBBmD0KRy_sCw,pXWqYG8vo7rpSN49D1t1lA,P,0.8403468521472349,13
4,-G7Zkl1wIWBBmD0KRy_sCw,C6NYChT2EtJgtnaT2PVeqQ,Kevin,0.8376588330586836,31
3,-G7Zkl1wIWBBmD0KRy_sCw,J56C7Dc9E7Q0mpMTJGW6Qw,Roma,0.8393000900207525,439
2,-G7Zkl1wIWBBmD0KRy_sCw,_muhtS8ZFnV61s7Q4JXDwQ,Kevin,0.8360625783166536,831
1,-G7Zkl1wIWBBmD0KRy_sCw,HxQeCrFkOqr0oMugps0sDg,Robert,0.8389306962625959,9
7,-G7Zkl1wIWBBmD0KRy_sCw,6UPWBTOfNoaGRahqTX14Ag,Henry,0.8557155639829348,185
0,-G7Zkl1wIWBBmD0KRy_sCw,NDHhUek7178IJQfFLuRABg,Penney,0.8522854818714375,19
6,-vjSUjoYYROCHImyLenDNA,5dYduxPNouuR5SI3V1OtCw,Rachel,0.7293752854346969,312
4,-vjSUjoYYROCHImyLenDNA,Rx23TGuzQy5Dvz5kh_hNAA,Susan,0.7402863327180933,199
5,-vjSUjoYYROCHImyLenDNA,WCHArapR0ZhduJElR9axjA,Farin,0.7319239601299692,145
7,-vjSUjoYYROCHImyLenDNA,QgQrCDZcWBI1GXTKYN2uyg,Andrew,0.7375234317636665,192
3,-vjSUjoYYROCHImyLenDNA,yrb8vADR8aaAvKEAvH34Tw,Jorge,0.7272205413780383,1
1,-vjSUjoYYROCHImyLenDNA,Vt_ATY7lcDzRZb7jt9KdPQ,Igor,0.7379701516202123,1
9,-vjSUjoYYROCHImyLenDNA,cPE1aA3b7hVntcBt82rPzw,Jason,0.7484228026460288,2
0,-vjSUjoYYROCHImyLenDNA,G7-k_8jBptQ2bHLkf-wyBw,Melissa,0.7275108241150114,3
8,-vjSUjoYYROCHImyLenDNA,AT9V--HeM_ptlqSExRG5tQ,Jessica,0.7331673976298776,32
2,-vjSUjoYYROCHImyLenDNA,qDf3NK7gD3n5kkGfXXITnw,Steve,0.7571313236152025,1
2,0BBUmH7Krcax1RZgbH4fSA,I_3AUfSj6nXecO1xivgWLQ,Amanda,0.9656215263502266,89
1,0BBUmH7Krcax1RZgbH4fSA,U5YQX_vMl_xQy8EQDqlNQQ,Stephanie,0.967301754819846,1130
0,0BBUmH7Krcax1RZgbH4fSA,zbSBmoujGgIPuNWQcny14g,Rach,0.9653830619276583,100
4,0BBUmH7Krcax1RZgbH4fSA,Tc3GAQdAfOW542ROdyCZPg,Kat,0.9633005537080248,290
8,0BBUmH7Krcax1RZgbH4fSA,Kj9cFO70zZOQorN0mgeLWA,Faiza,0.9658991190585883,745
